Id,Note Id,Related to Id,Related to Type
15993277,70016719131,70070934845,Contact
15993312,70016719166,70069980744,Contact
15993368,70016719222,70069050561,Contact
15993387,70016719241,70070934848,Contact
15994908,70016720762,70070934840,Contact
16129316,70016855310,70068078762,Contact
16129484,70016855478,70068078765,Contact
16134681,70016860677,70070934830,Contact
16134764,70016860760,70070934830,Contact
16135402,70016861398,70070934848,Contact
16146766,70016872775,70070934817,Contact
16151063,70016877095,70069980708,Contact
16151166,70016877198,70070934820,Contact
16253899,70016980495,70069980744,Contact
16253986,70016980582,70069980757,Contact
16254274,70016980870,70070934835,Contact
16255249,70016981845,70070934841,Contact
16255416,70016982012,70070934842,Contact
16265226,70016991831,70070934849,Contact
16265770,70016992377,70071758080,Contact
16375123,70017102230,70072078598,Contact
16375345,70017102452,70072078573,Contact
16375719,70017102826,70072078512,Contact
16377435,70017104542,70072078505,Contact
16378789,70017105897,70069980723,Contact
16383751,70017110860,70069050561,Contact
16384190,70017111300,70070934849,Contact
16430762,70017158067,70071758092,Contact
16430811,70017158116,70071758093,Contact
16430873,70017158177,70071758098,Contact
16431041,70017158345,70072078468,Contact
16431247,70017158551,70072078546,Contact
16431500,70017158804,70072078555,Contact
16431568,70017158872,70072078592,Contact
16431744,70017159048,70069980708,Contact
16431825,70017159129,70071758100,Contact
16461697,70017188990,70069980737,Contact
16461813,70017189106,70069980748,Contact
16462184,70017189477,70071758074,Contact
16462237,70017189530,70071758075,Contact
16462286,70017189579,70071758097,Contact
16463280,70017190573,70070934855,Contact
16463467,70017190760,70071758078,Contact
16463523,70017190816,70071758085,Contact
16463537,70017190830,70066759963,Contact
16464017,70017191310,70071758082,Contact
16464224,70017191517,70071758098,Contact
16464335,70017191628,70072078468,Contact
16464385,70017191678,70072078555,Contact
16464486,70017191779,70068212035,Contact
16464994,70017192287,70069980708,Contact
16465194,70017192487,70070934820,Contact
16466558,70017193851,70072300606,Contact
16491595,70017218922,70068463696,Contact
16492965,70017220292,70072078565,Contact
16494557,70017221884,70065906151,Contact
16494724,70017222051,70065906146,Contact
16495039,70017222366,70066273194,Contact
16496288,70017223615,70066273209,Contact
16508343,70017235675,70065906151,Contact
16508552,70017235884,70066273228,Contact
16508791,70017236123,70066541208,Contact
16508932,70017236264,70066956083,Contact
16514917,70017242267,70072513951,Contact
16630077,70017357933,70068244927,Contact
16644400,70017372260,70068244927,Contact
16644551,70017372411,70069980722,Contact
16644712,70017372573,70069980724,Contact
16644853,70017372715,70069980737,Contact
16644886,70017372748,70072728394,Contact
16644998,70017372860,70069980748,Contact
16684973,70017413012,70070934833,Contact
16685511,70017413550,70062748514,Contact
16709607,70017437654,70072728407,Contact
16710162,70017438209,70072513947,Contact
16710862,70017438909,70072728401,Contact
16715374,70017443435,70073052372,Contact
16745977,70017474087,70072912206,Contact
16746241,70017474351,70072728398,Contact
16748625,70017476737,70073052374,Contact
16754795,70017482913,70066956078,Contact
16756414,70017484532,70062485108,Contact
16769075,70017497212,70073052368,Contact
16769552,70017497689,70067125321,Contact
16769637,70017497774,70068244927,Contact
16772757,70017500896,70072513954,Contact
16782658,70017510810,70071758078,Contact
16783005,70017511157,70072300605,Contact
16783130,70017511282,70068078759,Contact
16784079,70017512231,70070934837,Contact
16862795,70017590940,70069980757,Contact
16911993,70017640141,70072513952,Contact
16912178,70017640326,70066273228,Contact
16927447,70017655608,70073052363,Contact
17027038,70017755353,70069980710,Contact
17095791,70017824196,70073052363,Contact
17095898,70017824303,70072728396,Contact
17096006,70017824411,70073052367,Contact
17096797,70017825202,70072078565,Contact
17096931,70017825336,70072300601,Contact
17097019,70017825424,70072300606,Contact
17097286,70017825691,70072513955,Contact
17097418,70017825823,70073052370,Contact
17098044,70017826449,70066273209,Contact
17098558,70017826963,70071758089,Contact
17098686,70017827091,70072078486,Contact
17098873,70017827278,70072078508,Contact
17099520,70017827925,70072078527,Contact
17100396,70017828802,70072078587,Contact
17151632,70017880173,70073538086,Contact
17152016,70017880557,70073537893,Contact
17207338,70017936162,70072078597,Contact
17207382,70017936206,70072078597,Contact
17207536,70017936360,70072300602,Contact
17207681,70017936507,70072300604,Contact
17207809,70017936635,70072300607,Contact
17208029,70017936855,70072300608,Contact
17209737,70017938567,70070934825,Contact
17213813,70017942652,70071758088,Contact
17214592,70017943433,70071758092,Contact
17214807,70017943649,70071758093,Contact
17214974,70017943816,70071758075,Contact
17215577,70017944421,70071758074,Contact
17215689,70017944534,70071758081,Contact
17215860,70017944705,70071758093,Contact
17216115,70017944961,70071758095,Contact
17216317,70017945164,70072078468,Contact
17364281,70018093881,70072078559,Contact
17364615,70018094216,70072078572,Contact
17391245,70018120947,70074369211,Contact
17428322,70018158261,70071758093,Contact
17500478,70018230672,70066273220,Contact
17500737,70018230931,70066541208,Contact
17500830,70018231024,70071758090,Contact
17501191,70018231385,70070934848,Contact
17501333,70018231527,70072300600,Contact
17501521,70018231716,70069050559,Contact
17501735,70018231930,70069050571,Contact
17501832,70018232027,70066956099,Contact
17502441,70018232636,70066545548,Contact
17502500,70018232695,70066545548,Contact
17502554,70018232749,70066545548,Contact
17504101,70018234301,70069050584,Contact
17504368,70018234568,70071758083,Contact
17504780,70018234980,70066541207,Contact
17505248,70018235449,70066273228,Contact
17505249,70018235450,70066273228,Contact
17505352,70018235553,70066273228,Contact
17505983,70018236185,70065906130,Contact
17561976,70018292392,70069090812,Contact
17564011,70018294441,70073809297,Contact
17564708,70018295141,70074238284,Contact
17567491,70018297934,70073809312,Contact
17568117,70018298561,70069227563,Contact
17568580,70018299025,70070833249,Contact
17569133,70018299578,70072078471,Contact
17570127,70018300574,70074156067,Contact
17576925,70018307383,70074271486,Contact
17579983,70018310449,70071758083,Contact
17580057,70018310523,70074156064,Contact
17580448,70018310914,70072300600,Contact
